bcsid,degsub,comb_code,HECoS_Label,dist,man_code
B15223W,business studies,N1,business studies,0,NA
B15224X,construction management,K2,construction management,0,NA
B15226Z,politics and government,L1,politics,0.217391304,L1
B15247E,english and sociology,Q3,applied sociology,0.190009337,NA
B15255E,chemistry,F1,chemistry,0,NA
B15265G,graphic design animation,W2,graphic design,0.138888889,NA
B15270D,music in education,W3,music education and teaching,0.23015873,NA
B15271E,modern languages,R0,modern languages,0,R0
B15277L,cell biology,C1,cell biology,0,NA
B15284K,historymedia studies,V1,history,0.216666667,NA
B15286M,bachlor of education,D4,crop production,0.227777778,NA
B15287N,applied social studies,L3,applied social science,0.121212121,L3
B15297Q,religion,V6,religious writings,0.185185185,NA
B15303V,computer science,I1,computer science,0,NA
B15309B,chemistry,F1,chemistry,0,NA
B15324A,welsh  linguistics,Q1,psycholinguistics,0.209485504,NA
B15328E,biology,C1,biology,0,NA
B15339H,medical science,B1,medical sciences,0.020833333,B1
B15342C,podiatric medicineNA,P3,digital media,0.231585082,NA
B15350C,medieval history,V1,medieval history,0,NA
B15369P,englishreligious studies,Q3,English studies,0.213888889,NA
B15374L,biological sciences,C0,biological sciences,0,NA
B15380J,bs c,I1,business computing,0.259259259,Y1
B15386Q,aeronautical and astrolog,H4,aeronautical engineering,0.251944444,NA
B15390L,history,V1,history,0,NA
B15407C,accountancy and finance,N4,accountancy,0.173913043,NA
B15433E,modern history,V1,modern history,0,NA
B15436H,german,R2,German studies,0.19047619,R2
B15440D,german and russian studie,R2,Salman Rushdie studies,0.237272727,NA
B15445J,analytical  applied chem,F1,analytical chemistry,0.229861111,NA
B15449N,economics,L1,economics,0,NA
B15451G,religios studies with eng,V6,religious studies,0.191691176,NA
B15454K,classics,J4,classical studies,0.176470588,NA
B15479U,buisness studies,N1,business studies,0.020833333,NA
B15493S,engineering,H0,engineering design,0.12962963,NA
B15498X,business economics and fi,N1,business economics,0.093333333,NA
B15538N,law,M0,law,0,NA
B15540G,textile design,W2,textile design,0,NA
B15545M,physics with medical phys,B1,physiotherapy,0.237948718,NA
B15555P,trnasport management and,N8,hospitality management,0.221999406,NA
B15566S,biological scince,C0,biological sciences,0.064499484,NA
B15578W,business studies,N1,business studies,0,NA
B15586W,computing,I1,conducting,0.174074074,NA
B15596Y,mathematics,G1,mathematics,0,NA
B15600B,applied chemistry,F1,applied chemistry,0,NA
B15606H,sports studies in sport,C6,sports studies,0.130434783,NA
B15607J,politics,L2,politics,0,NA
B15608K,theology and pastoral stu,V6,theology and religious studies,0.193015873,NA
B15615J,architecture,K1,architecture,0,NA
B15622H,civil instructural engine,H6,digital circuit engineering,0.278201058,NA
B15623J,goegraphy,L7,geography,0.037037037,NA
B15624K,electrical engineering,H6,electrical engineering,0,NA
B15665U,theology,V6,theology,0,NA
B15666V,business and finance,N1,business and management,0.176172208,NA
B15675W,archecture,K1,architecture,0.105555556,NA
B15687A,business management,N1,business and management,0.128146453,NA
B15704J,geography,L7,geography,0,NA
B15716N,electrical and electronic,H6,electrical and electronic engineering,0.108108108,H6
B15738U,bsc quantity surveying,K2,quantity surveying,0.143939394,NA
B15745T,geography,L7,geography,0,NA
B15752S,animal ssciences,D3,animal science,0.041666667,NA
B15753T,electronics and communica,W3,electronic music,0.1825,NA
B15757X,theology and education,X3,secondary education,0.185207337,NA
B15767Z,eng lit and sociolgy,L3,applied sociology,0.230252101,NA
B15781X,music,W3,music,0,NA
B15805N,computer studies,I1,computer science,0.166666667,NA
B15820M,british economic and soci,Q1,British Sign Language studies,0.266066411,NA
B15835U,social scince,L0,social sciences,0.082905983,L0
B15839Y,agricultural business,N1,agricultural sciences,0.113756614,NA
B15841S,biology,C1,biology,0,NA
B15850T,economics with acc  fina,L1,economics,0.208333333,NA
B15851U,biology,C1,biology,0,NA
B15852V,tropical environmental sc,F7,applied environmental sciences,0.256507937,NA
B15857A,electrical and electronic,H6,electrical and electronic engineering,0.108108108,H6
B15869E,residential dev,V2,Iberian studies,0.283838384,NA
B15893E,sociology,L3,sociology,0,NA
B15894F,management studies,N2,management studies,0,NA
B15897J,accountancy,N4,accountancy,0,NA
B15904Q,mechanical engineering,H3,mechanical engineering,0,NA
B15914S,mechanical engineering,H3,mechanical engineering,0,NA
B15915T,english and modern studie,Q3,English as a second language,0.239774436,NA
B15918W,nursing professional prac,B7,nursing,0.24,B7
B15924U,eng with qualified teach,W2,web and multimedia design,0.311732026,NA
B15928Y,accountancy,N4,accountancy,0,NA
B15929Z,chemistry,F1,chemistry,0,NA
B15959F,mathematics,G1,mathematics,0,NA
B15982E,history and english,V1,history of design,0.176057792,NA
B16001N,engineering product desig,H1,engineering design,0.125185185,NA
B16032V,social policy,L4,social policy,0,NA
B16044Z,combined mathematicspsychology,C1,community ecology,0.248080065,NA
B16047C,countryside management,D4,countryside management,0,D4
B16070B,business  computer studi,N1,business computing,0.148148148,NA
B16082F,physics and music,F3,physics,0.196078431,NA
B16084H,drama,W4,drama,0,NA
B16093J,politics,L2,politics,0,NA
B16095L,applied social sciences,L3,applied social science,0.014492754,L3
B16103T,food and catering managem,W5,dance,0.266666667,NA
B16127B,economics,L1,economics,0,NA
B16128C,biological sciences,C0,biological sciences,0,NA
B16146E,geography,L7,geography,0,NA
B16149H,modern studies,T4,Korean studies,0.123015873,NA
B16152C,economics,L1,economics,0,NA
B16154E,instumentation and contro,W3,instrumental or vocal performance,0.29158958,NA
B16158J,geography,L7,geography,0,NA
B16181H,education,X0,education policy,0.145833333,NA
B16210V,applied ecology,C1,applied biology,0.088888889,F7
B16219E,business studies,N1,business studies,0,NA
B16255J,biochemistry,F6,biochemistry,0,NA
B16262H,mathematics and economics,G1,mathematics,0.186666667,G1
B16265L,primary education,X3,primary education,0,NA
B16266M,graphic design,W2,graphic design,0,NA
B16267N,biochemistry,F6,biochemistry,0,NA
B16278R,mechanical engineering,H3,mechanical engineering,0,NA
B16280K,accounting,N4,accounting,0,NA
B16287S,mathematics,G1,mathematics,0,NA
B16303Z,american studies,T7,American studies,0,T7
B16304A,business law,N1,business law,0,NA
B16307D,financial services,N3,financial risk,0.154863655,NA
B16322C,interior designs,W2,interior design and architecture,0.197916667,NA
B16323D,geography,L7,geography,0,NA
B16339M,educationteaching,X1,adult education teaching,0.195261438,NA
B16361K,finance,N3,finance,0,NA
B16370L,metals jewellery design,W7,metal work,0.284057971,W7
B16395V,business studiesmarketin,N1,business studies,0.111111111,NA
B16397X,business studies,N1,business studies,0,NA
B16405E,ecology and greography,F6,geological oceanography,0.216403162,NA
B16413E,engineering and business,N1,engineering design,0.145152505,NA
B16419L,fine art,W1,fine art,0,NA
B16433J,computer studies,I1,computer science,0.166666667,NA
B16437N,economics and politics,L1,economic policy,0.143434343,NA
B16445N,geography,L7,geography,0,NA
B16446P,in business administratio,N1,business information systems,0.295396825,NA
B16457S,nurceing,B7,nursing,0.130952381,NA
B16469W,marketing,N5,marketing,0,NA
B16475U,manufacturing engineering,H7,manufacturing engineering,0,NA
B16478X,business studies,N1,business studies,0,NA
B16479Y,german and music,R2,German studies,0.205898268,NA
B16482T,politics and law,L2,politics,0.166666667,L2
B16486X,marine biology and oceano,C1,marine biology,0.146666667,NA
B16489A,social science,F7,social sciences,0.022222222,L0
B16493W,devevopmental biolagy,C1,developmental biology,0.177527151,NA
B16501D,computer science,I1,computer science,0,NA
B16511F,psychology,C8,psychology,0,NA
B16524L,social work,L5,social work,0,NA
B16532L,history,V1,history,0,NA
B16545R,music,W3,music,0,NA
B16551P,geography,L7,geography,0,NA
B16561R,quantity surveying,K2,quantity surveying,0,NA
B16565V,business with languages,N1,business law,0.201086957,NA
B16570S,modern languages french,R1,modern languages,0.101449275,NA
B16589D,cell and molecular biolog,C7,molecular biology,0.27502451,C7
B16598E,quantity surveying,K2,quantity surveying,0,NA
B16613L,psychology,C8,psychology,0,NA
B16614M,electrical and electronic,H6,electrical and electronic engineering,0.108108108,H6
B16621L,quantity surveying,K2,quantity surveying,0,NA
B16625Q,environmental sciences,F7,environmental sciences,0,NA
B16630M,industrial chemistry,F1,industrial chemistry,0,NA
B16632P,communications enginearin,H6,mining engineering,0.211111111,NA
B16633Q,civil engineering,H2,civil engineering,0,NA
B16634R,dualhonst,B2,drug and alcohol studies,0.263888889,Y1
B16636T,building surveying,K2,building surveying,0,NA
B16641Q,engineering electronics,H1,engineering design,0.159319646,NA
B16649Y,ordinary social science,L3,applied social science,0.188625384,L0
B16654V,law llb,M1,law,0.19047619,M1
B16659A,health studies,B9,health studies,0,B9
B16663W,law,M0,law,0,NA
B16670V,english german,R2,English law,0.17965368,NA
B16671W,applied chemistry,F1,applied chemistry,0,NA
B16679E,english and politics,Q3,English law,0.23030303,NA
B16686D,mathematics,G1,mathematics,0,NA
B16690Z,econ,L1,economics,0.185185185,NA
B16696F,applied biology,C1,applied biology,0,NA
B16711M,social sciences,L0,social sciences,0,L0
B16713P,manufacturing systems and,H7,manufacturing engineering,0.24,NA
B16750U,combined german and psych,R2,complementary medicines and therapies,0.268734822,NA
B16752W,english lit,Q3,English law,0.121212121,NA
B16756A,graphic design,W2,graphic design,0,NA
B16780A,phyysical education,F0,physical sciences,0.222156069,C6
B16812R,control instrumentation a,K2,construction management,0.252006102,NA
B16814T,medicine,A0,medicine,0,A1
B16827Y,history,V1,history,0,NA
B16840V,management studies,N2,management studies,0,NA
B16850X,fine art,W1,fine art,0,NA
B16854B,european studies,R8,European studies,0,NA
B16861A,bio physics and molecular,R7,Polish society and culture,0.244420024,NA
B16865E,philosophy,V5,philosophy,0,NA
B16866F,electricelectronic engin,H6,electrical engineering,0.144191919,NA
B16874F,social sciences,L0,social sciences,0,L0
B16875G,history,V1,history,0,NA
B16878K,social policy and admin,L4,social policy,0.144927536,NA
B16879L,textile and knitwear tech,W2,textile design,0.262619048,NA
B16880D,history,V1,history,0,NA
B16881E,business studies,N1,business studies,0,NA
B16884H,history  education,V1,history of design,0.180516651,NA
B16898P,fashion and textiles,W2,fashion design,0.191758242,W2
B16930W,education,X0,education policy,0.145833333,NA
B16932Y,social  political studie,L4,social policy,0.192307692,NA
B16933Z,manfacturing engineering,H7,manufacturing engineering,0.048055556,NA
B16942A,ecconomics with ecconomic,V3,economic history,0.307380952,NA
B16943B,economics and accounts,L1,economics,0.196969697,NA
B16944C,transport management,N8,hospitality management,0.174777184,NA
B16980G,english literature,Q3,English literature,0,NA
B16984L,applied physics and elect,F3,applied physics,0.133333333,NA
B17002T,european business adminis,N1,European business studies,0.13047619,NA
B17005W,three d ceramic design,H6,integrated circuit design,0.237272727,NA
B17014X,mathamaticscomputing,I1,mathematics,0.23030303,NA
B17021W,hnc in retail exhibition,B1,neurological rehabilitation,0.324074074,N2
B17036D,sports studies,C6,sports studies,0,NA
B17060D,medicine,A0,medicine,0,A1
B17097S,mathematics,G1,mathematics,0,NA
B17098T,german,R2,German studies,0.19047619,R2
B17105Z,geography,L7,geography,0,NA
B17114A,fine art,W1,fine art,0,NA
B17124C,economics,L1,economics,0,NA
B17162J,psychology,C8,psychology,0,NA
B17175P,electrical and electronic,H6,electrical and electronic engineering,0.108108108,H6
B17182N,community studies,L5,community justice,0.111764706,NA
B17186S,business studies and mark,N1,business studies,0.12,NA
B17195T,english and classics,Q3,English law,0.23030303,NA
B17210Z,electronic engineering,H6,electronic engineering,0,NA
B17211A,humanities,V1,humanities,0,NA
B17212B,statistics,G3,statistics,0,NA
B17226H,graphic design,W2,graphic design,0,NA
B17232F,accounting and finance,N4,accounting,0.181818182,NA
B17241G,englishhistory and frenc,V1,English history,0.213888889,NA
B17267S,psychology sociology,C8,psychology,0.166666667,NA
B17269U,housing and development,K4,housing,0.231884058,K4
B17278V,pharmaceutical science,F1,pharmaceutical chemistry,0.141214779,NA
B17290R,ancient history,V1,ancient history,0,NA
B17295W,aerospace engineering,H4,aerospace engineering,0,NA
B17297Y,business and finance,N1,business and management,0.176172208,NA
B17320E,business studies with,N1,business studies,0.079365079,NA
B17321F,business computing with f,N1,business computing,0.093333333,NA
B17326L,film  radio and televisi,W2,interactive and electronic design,0.29520202,NA
B17334L,religious education,V6,religious studies,0.16494668,NA
B17348S,financial services,N3,financial risk,0.154863655,NA
B17361P,accounts,N4,accounting,0.141666667,NA
B17376W,chemistry,F1,chemistry,0,NA
B17380S,estate management,W4,creative management,0.131613347,NA
B17392W,psycholoogy,C8,psychology,0.03030303,NA
B17404H,law,M0,law,0,NA
B17411G,business studies,N1,business studies,0,NA
B17413J,electronic and electrical,H6,electrical and electronic engineering,0.161441441,H6
B17417N,computer science,I1,computer science,0,NA
B17437S,mechanical engineering,H3,mechanical engineering,0,NA
B17471U,english,Q3,English law,0.121212121,NA
B17475Y,science with management s,N8,event management,0.198611111,NA
B17479C,law,M0,law,0,NA
B17497E,industrial economics,F1,industrial chemistry,0.154166667,NA
B17506N,buisiness information sys,I2,business information systems,0.165119048,P1
B17516Q,manufacturing engineering,H7,manufacturing engineering,0,NA
B17518S,english,Q3,English law,0.121212121,NA
B17521M,computing science,I1,mapping science,0.122875817,NA
B17523P,acounting and finance,N4,accounting,0.223809524,NA
B17529V,quantity surveying,K2,quantity surveying,0,NA
B17532Q,history of art and archit,V1,history of art,0.146666667,NA
B17534S,physics,F3,physics,0,NA
B17536U,graphic design,W2,graphic design,0,NA
B17540Q,media and art studies,T7,Latin American studies,0.200817701,P3
B17552U,engineering manufacturin,H2,engineering surveying,0.232142857,NA
B17555X,textile design,W2,textile design,0,NA
B17556Y,occupational psychology,C8,occupational psychology,0,NA
B17558A,criminal justice,L4,criminal justice,0,NA
B17565Z,medaeval  modern history,V1,modern history,0.198412698,NA
B17587F,accountancy and finance,N4,accountancy,0.173913043,NA
B17594E,zoology and physiology,C3,zoology,0.227272727,C3
B17614R,mathematics,G1,mathematics,0,NA
B17621Q,theology,V6,theology,0,NA
B17631S,european language,R2,German language,0.122875817,NA
B17636X,mathematics,G1,mathematics,0,NA
B17659E,primary teaching,X1,primary teaching,0,NA
B17703R,hispanic studies,V6,Islamic studies,0.106944444,NA
B17718Y,acconomics,L1,economics,0.103703704,NA
B17738C,geography  geology,L7,geography,0.166666667,NA
B17745B,ba in qts hoins in physic,W1,painting,0.336666667,NA
B17767H,bed,Y0,combined studies,0.270833333,X0
B17774G,law,M0,law,0,NA
B17788N,medicine and surgery,A0,medicine,0.2,A1
B17797P,french and linguistics,R1,French studies,0.211455211,NA
B17798Q,applied geology,F6,applied geology,0,F6
B17799R,ba history,V1,history,0.1,NA
B17809A,sociology,L3,sociology,0,NA
B17812V,modern languages  french,R1,modern languages,0.111111111,NA
B17833A,geograpy,L7,geography,0.037037037,NA
B17837E,economics,L1,economics,0,NA
B17838F,european business adminis,N1,European business studies,0.13047619,NA
B17851C,electronic engineering,H6,electronic engineering,0,NA
B17858K,psychology,C8,psychology,0,NA
B17860D,business studies,N1,business studies,0,NA
B17861E,ecology and environmental,C1,ecology,0.24,NA
B17873J,computer science,I1,computer science,0,NA
B17875L,business studies,N1,business studies,0,NA
B17883L,env studies,R1,French studies,0.125541126,F7
B17901V,mathematics major with a comput,I1,mathematics,0.215053763,NA
B17909D,history,V1,history,0,NA
B17911X,microbiology,C1,microbiology,0,NA
B17912Y,french linguistics,R1,French studies,0.214285714,NA
B17921Z,physics,F3,physics,0,NA
B17932C,art,N5,marketing,0.222222222,NA
B17936G,french studies,R1,French studies,0,NA
B17946J,accounting finance  ec,N4,accounting,0.181818182,NA
B17950E,architecture,K1,architecture,0,NA
B17963K,sovieteastr euro studies,Q3,Robert Louis Stevenson studies,0.236594203,NA
B17986S,bat of  educat,X3,adult education,0.252380952,NA
B18003Y,building services enginee,H1,building services engineering,0.045977011,H1
B18025E,building surveying,K2,building surveying,0,NA
B18031C,management science,N2,management studies,0.148148148,NA
B18035G,jewellery design and craf,W2,design,0.308888889,NA
B18044H,systems engineering,H6,systems engineering,0,NA
B18051G,medicine,A0,medicine,0,A1
B18069S,european business adminis,N1,European business studies,0.13047619,NA
B18080M,education,X0,education policy,0.145833333,NA
B18092R,community nursing,B7,community nursing,0,NA
B18098X,environmental health,B9,environmental chemistry,0.136956522,NA
B18104C,hispanic studiespolitics,V6,Islamic studies,0.197222222,NA
B18105D,business studies,N1,business studies,0,NA
B18110A,applied biology,C1,applied biology,0,NA
B18112C,fine art valuation,W1,fine art,0.185185185,NA
B18118J,business studies,N1,business studies,0,NA
B18120C,leisure management,N8,tourism management,0.177777778,NA
B18136L,arttextile design,W2,textile design,0.094537815,NA
B18150J,enviromental studies,F7,environmental sciences,0.15516934,NA
B18152L,law,M0,law,0,NA
B18156Q,politics,L2,politics,0,NA
B18176U,podiatry,B1,podiatry,0,NA
B18193V,medicine and surgery,A0,medicine,0.2,A1
B18200B,business studies,N1,business studies,0,NA
B18202D,product design,W2,product design,0,NA
B18243N,community nursing,B7,community nursing,0,NA
B18257U,bsc in mathematics and computin,I1,computer animation and visual effects,0.28595757,NA
B18260P,agricultural and enviromn,D4,agricultural machinery,0.178086124,NA
B18264T,politics,L2,politics,0,NA
B18266V,film and literature,Q2,Latin literature,0.146564327,P3
B18267W,earth sciences,F6,earth sciences,0,NA
B18273U,education and science,X0,education studies,0.193744164,X1
B18307M,agriculture,D4,agriculture,0,NA
B18335R,applied chemistry,F1,applied chemistry,0,NA
B18338U,computing,I1,conducting,0.174074074,NA
B18349X,elentronic engineering,H6,electronic engineering,0.117604618,NA
B18356W,organic chemistry,F1,organic chemistry,0,NA
B18375Z,spanish  psychology,C2,plant physiology,0.188909774,NA
B18387D,social science,F7,social sciences,0.022222222,NA
B18389F,botany,C2,astronomy,0.27037037,NA
B18390Y,accountancy,N4,accountancy,0,NA
B18391Z,history,V1,history,0,NA
B18399H,business studies andfrenc,N1,business studies,0.12,NA
B18402K,accountancy,N4,accountancy,0,NA
B18418T,archeology and history,V1,oil and gas chemistry,0.26670062,NA
B18422P,bichemistry and genitics,C7,biochemistry,0.208333333,C7
B18437W,law,M0,law,0,NA
B18487G,chemistry,F1,chemistry,0,NA
B18488H,ecology,C1,ecology,0,NA
B18493E,economics,L1,economics,0,NA
B18507T,electronic engin eering,H6,electronic engineering,0.014492754,NA
B18508U,english literatura and la,Q3,English literature,0.125185185,NA
B18513R,business administartion,N1,business information systems,0.222049689,NA
B18515T,environmental management,D4,environmental management,0,NA
B18527X,english and politics,Q3,English law,0.23030303,NA
B18532U,business studies,N1,business studies,0,NA
B18543X,business studies,N1,business studies,0,NA
B18546A,english,Q3,English law,0.121212121,NA
B18549D,land economy law,M1,European Union law,0.309553872,NA
B18551X,education  business stud,N1,education studies,0.165849673,NA
B18569H,business studies,N1,business studies,0,NA
B18595K,mathematics with computing,I1,mathematics,0.192307692,NA
B18597M,physical education and en,F0,physical sciences,0.241204482,C6
B18598N,psychology,C8,psychology,0,NA
B18609Y,french and computer scien,R1,French society and culture,0.220610501,NA
B18614V,biology,C1,biology,0,NA
B18632X,german,R2,German studies,0.19047619,R2
B18641Y,graduate diploma of music,H6,computer animation and visual effects,0.275981199,W3
B18647E,primary education,X3,primary education,0,NA
B18650Z,business studies,N1,business studies,0,NA
B18655E,risk management,N3,risk management,0,N3
B18658H,chemistry and biology,C1,chemistry,0.19047619,NA
B18663E,nursing studies,Q3,Ruskin studies,0.11953602,NA
B18667J,mathematics and chemistery,G1,mathematics,0.192307692,G1
B18673G,engineering,H0,engineering design,0.12962963,NA
B18683J,business studies,N1,business studies,0,NA
B18701T,teaching studies and,Q6,Latin studies,0.186752137,NA
B18710U,primary education,X3,primary education,0,NA
B18712W,history of art,V1,history of art,0,NA
B18721X,french and business studi,N1,French studies,0.209450549,NA
B18723Z,fashion design,W2,fashion design,0,W2
B18725B,anatomical science,N3,actuarial science,0.128104575,NA
B18731Z,communications systems e,L5,community justice,0.230882353,NA
B18739H,history,V1,history,0,NA
B18745F,enviromental pollution,C1,environmental biology,0.198073169,NA
B18747H,human environmental scien,C4,human genetics,0.247912088,NA
B18748J,sociology,L3,sociology,0,NA
B18759M,physical education,F0,physical sciences,0.209485504,C6
B18764J,animal science,D3,animal science,0,NA
B18776N,NA,M0,finance,0.238095238,NA
B18786Q,graphic information desig,W2,graphic arts,0.201111111,W2
B18796S,building engineering,H1,building services engineering,0.170114943,H2
B18802X,accounting and finance,N4,accounting,0.181818182,NA
B18807C,cultural studies,P3,cultural studies,0,NA
B18830B,human resourses,N6,human resource management,0.204444444,NA
B18835G,architecture,K1,architecture,0,NA
B18872M,classics,J4,classical studies,0.176470588,NA
B18884R,english,Q3,English law,0.121212121,NA
B18885S,civil engineering,H2,civil engineering,0,NA
B18889W,political studies,P2,publicity studies,0.141456583,NA
B18898X,business studies,N1,business studies,0,NA
B18899Y,english,Q3,English law,0.121212121,NA
B18910A,three dimensional design,J2,materials engineering,0.26984127,W2
B18929M,art,N5,marketing,0.222222222,NA
B18934J,landscape articecture,K3,landscape architecture and design,0.137085137,NA
B18940G,business studies,N1,business studies,0,NA
B18972Q,drama,W4,drama,0,NA
B18981R,gallery studies,Y0,general studies,0.14017094,W9
B18983T,zoology,C3,zoology,0,C3
B18988Y,managerial and admin,N2,management and organisation of education,0.288157895,NA
B18990S,enginerring,H0,engineering design,0.178451178,NA
B19004D,applied chemistry,F1,applied chemistry,0,NA
B19022F,englishsociology,Q3,forensic biology,0.222222222,NA
B19028M,computer science,I1,computer science,0,NA
B19035L,geogrsphy,L7,geography,0.074074074,NA
B19036M,law,M0,law,0,NA
B19037N,bachelor of education,D4,crop production,0.237301587,NA
B19040H,economics,L1,economics,0,NA
B19056R,english literature,Q3,English literature,0,NA
B19058T,physics and business stud,N1,physics,0.24,NA
B19076V,town and country planning,L5,youth and community work,0.304027778,NA
B19087Y,electronic engineering,H6,electronic engineering,0,NA
B19092V,history,V1,history,0,NA
B19098B,business studies,N1,business studies,0,NA
B19108L,sport and human movement,N8,sports management,0.219771242,NA
B19112G,combined studies,Y0,combined studies,0,NA
B19114J,psychology,C8,psychology,0,NA
B19120G,communication studies,W5,community dance,0.204761905,NA
B19133M,graphic information desig,W2,graphic arts,0.201111111,W2
B19145R,neurophysiology,C8,forensic psychology,0.217084378,NA
B19175X,textile design and techno,W2,textile design,0.146666667,NA
B19181V,ancient history archaeol,V1,ancient history,0.125,NA
B19187B,medicine,A0,medicine,0,A1
B19209Q,computer science,I1,computer science,0,NA
B19210H,business studies,N1,business studies,0,NA
B19236T,computer science,I1,computer science,0,NA
B19244T,bed hons,V1,modern history,0.327380952,NA
B19247W,drama,W4,drama,0,NA
B19271W,graphic design,W2,graphic design,0,NA
B19275A,history,V1,history,0,NA
B19284B,computer science,I1,computer science,0,NA
B19285C,accountancy,N4,accountancy,0,NA
B19289G,european studies,R8,European studies,0,NA
B19290Z,psychology,C8,psychology,0,NA
B19323R,modern languagews and eur,R0,modern languages,0.12,R8
B19333T,occupational therapy,B9,occupational therapy,0,NA
B19340S,medicine,A0,medicine,0,A1
B19361X,medical sciences,B1,medical sciences,0,B1
B19376E,construction managenent,K2,construction management,0.044137022,NA
B19377F,design and advertising,W2,design,0.242424242,NA
B19399M,accounts and finance,N4,accountancy,0.196969697,NA
B19401N,interior design,W2,interior design and architecture,0.177083333,NA
B19416V,phsiology,B1,physiology,0.033333333,B1
B19426X,sociology,L3,sociology,0,NA
B19430T,english literature,Q3,English literature,0,NA
B19432V,hotel and catering manage,B7,health and social care,0.265050505,N8
B19445A,mechanical engineering,H3,mechanical engineering,0,NA
B19447C,enviromental technology,J7,environmental biotechnology,0.158078368,J7
B19470B,medicine,A0,medicine,0,A1
B19482F,urban policy and race rel,K4,urban and regional planning,0.297037037,NA
B19519B,ba with qualteaching s,W4,theatrical wardrobe design,0.30878925,NA
B19533Z,business studies,N1,business studies,0,NA
B19545D,social policy and sociolo,L4,social policy,0.16,NA
B19547F,banking,N3,banking,0,N3
B19552C,interier desighn,W2,internet technologies,0.240766178,NA
B19569M,business and finance,N1,business and management,0.176172208,NA
B19575K,mathematic and professio,G1,mathematics,0.180555556,G1
B19580G,environmental science,F7,environmental sciences,0.015151515,NA
B19588Q,art,N5,marketing,0.222222222,NA
B19589R,music,W3,music,0,NA
B19591K,applied biology,C1,applied biology,0,NA
B19597R,economics,L1,economics,0,NA
B19602V,medeiaval history,V1,medieval history,0.06127451,NA
B19603W,combined science,F7,marine sciences,0.15,NA
B19605Y,literae humaniores,Q2,Latin literature,0.270477208,Q8
B19649L,transport and distributio,K4,transport planning,0.252592593,H2
B19653G,geography,L7,geography,0,NA
B19664K,sociology,L3,sociology,0,NA
B19666M,architecture,K1,architecture,0,NA
B19688T,mechanical engineering,H3,mechanical engineering,0,NA
B19701X,law,M0,law,0,NA
B19715D,interior design and techn,W2,interior design and architecture,0.124444444,W2
B19729K,law,M0,law,0,NA
B19763M,art and design foundation,N2,management and organisation of education,0.2925,W2
B19772N,english,Q3,English law,0.121212121,NA
B19774Q,management and administra,N2,management and organisation of education,0.202222222,NA
B19789X,geography,L7,geography,0,NA
B19796W,math phsycology biblical,C2,mycology,0.222222222,NA
B19803C,b a education,X3,primary education,0.19923214,NA
B19815G,law,M0,law,0,NA
B19817J,eauropean studies with fr,R8,European studies,0.1825,R8
B19821E,law and indonesian studie,I4,knowledge and information systems,0.26978355,NA
B19834K,business studies,N1,business studies,0,NA
B19836M,economics,L1,economics,0,NA
B19843L,architecture,K1,architecture,0,NA
B19846P,social anthropology,L6,social anthropology,0,NA
B19856R,electronic and electrical,H6,electrical and electronic engineering,0.161441441,H6
B19877W,psychology,C8,psychology,0,NA
B19901D,education,X0,education policy,0.145833333,NA
B19908L,chemistry,F1,chemistry,0,NA
B19918N,law,M0,law,0,NA
B19923K,psycology,C8,psychology,0.033333333,C8
B19928Q,law,M0,law,0,NA
B19933M,historyenglish,V1,history,0.166666667,NA
B19942N,mathematicsphysics,G1,mathematics,0.12962963,G1
B19967X,psychology,C8,psychology,0,NA
B19968Y,historyenglish,V1,history,0.166666667,NA
B19970S,computer science,I1,computer science,0,NA
B19984Y,economics and finance,L1,economics,0.19047619,NA
B20001T,business and computing,N1,business computing,0.134680135,NA
B20005X,design technology with ed,W2,design,0.253333333,NA
B20007Z,accounting  financial,N4,accounting,0.174603175,NA
B20008A,building surveying,K2,building surveying,0,NA
B20017B,engineering,H0,engineering design,0.12962963,NA
B20030Y,mathematics  q t s,G1,mathematics,0.12962963,G1
B20040A,medicine,A0,medicine,0,A1
B20050C,physics,F3,physics,0,NA
B20097T,mathematics,G1,mathematics,0,NA
B20106B,computer systems engineer,I1,computer systems engineering,0.035714286,NA
B20107C,electrical and electronic,H6,electrical and electronic engineering,0.108108108,H6
B20113A,mechanical engineering,H3,mechanical engineering,0,NA
B20124D,nursing,B7,nursing,0,NA
B20150F,education,X0,education policy,0.145833333,NA
B20162K,applied chemistry,F1,applied chemistry,0,NA
B20214E,computer science,I1,computer science,0,NA
B20233H,education,X0,education policy,0.145833333,NA
B20236L,economics,L1,economics,0,NA
B20237M,humanities,V1,humanities,0,NA
B20243K,nursing,B7,nursing,0,NA
B20291T,ecology,C1,ecology,0,NA
B20295X,nutrition,B4,nutrition,0,NA
B20298A,health and community stgu,N6,health and safety management,0.236904762,NA
B20300B,law,M0,law,0,NA
B20305G,chemistry,F1,chemistry,0,NA
B20321G,geography,L7,geography,0,NA
B20340K,music,W3,music,0,NA
B20341L,history of art,V1,history of art,0,NA
B20355S,marketing and french,R1,marketing,0.183333333,NA
B20371S,psychology,C8,psychology,0,NA
B20374V,materials technology,J5,minerals technology,0.124951267,NA
B20375W,community health nursing,B7,community nursing,0.097222222,NA
B20386Z,ba hons in psychology,C8,coaching psychology,0.194496658,C8
B20387A,business computing,N1,business computing,0,NA
B20395A,bachelor of education,D4,crop production,0.237301587,NA
B20405K,business operation and co,N1,business information technology,0.216415771,NA
