Category,JACS3_code,JACS3_Label,Relation,HECoS_code,HECoS_Label
1,F111,Industrial chemistry,Close match,101041,industrial chemistry
1,F112,Colour chemistry,Close match,101042,colour chemistry
1,F120,Inorganic chemistry,Close match,101043,inorganic chemistry
3,F130,Structural chemistry,Related match,101050,physical chemistry
1,F131,Crystallography,Close match,101044,crystallography
1,F140,Environmental chemistry,Close match,101045,environmental chemistry
1,F141,Marine chemistry,Close match,101046,marine chemistry
1,F150,Medicinal chemistry,Close match,100420,medicinal chemistry
1,F151,Pharmaceutical chemistry,Close match,100423,pharmaceutical chemistry
1,F160,Organic chemistry,Close match,100422,organic chemistry
2,F161,Organometallic chemistry,Related match,100422,organic chemistry
2,F161,Organometallic chemistry,Close match,101389,organometallic chemistry
1,F162,Polymer chemistry,Close match,101053,polymer chemistry
3,F163,Bio-organic chemistry,Related match,100344,biochemistry
1,F164,Petrochemical chemistry,Close match,101054,oil and gas chemistry
3,F165,Biomolecular chemistry,Related match,100265,biomedical sciences
1,F170,Physical chemistry,Close match,101050,physical chemistry
1,F180,Analytical chemistry,Close match,100413,analytical chemistry
3,F190,Chemistry not elsewhere classified,Related match,100417,chemistry
1,F200,Materials science,Close match,100225,materials science
4,F290,Materials science not elsewhere classified,Related match,101210,biomaterials
4,F290,Materials science not elsewhere classified,Related match,100225,materials science
1,F300,Physics,Close match,100425,physics
1,F310,Applied physics,Close match,101060,applied physics
1,F311,Engineering physics,Close match,101061,engineering physics
1,F320,Chemical physics,Close match,100416,chemical physics
3,F321,Solid-state physics,Related match,101223,condensed matter physics
4,F330,Environmental physics,Related match,101068,atmospheric physics
4,F330,Environmental physics,Related match,100396,geophysics
1,F331,Atmospheric physics,Close match,101068,atmospheric physics
1,F332,Marine physics,Close match,101390,marine physics
1,F340,Mathematical & theoretical physics,Close match,100426,theoretical physics
1,F341,Electromagnetism,Close match,101391,electromagnetism
1,F342,Quantum mechanics,Close match,101300,quantum theory and applications
1,F343,Computational physics,Close match,101071,computational physics
2,F350,Medical physics,Related match,101243,bioengineering
2,F350,Medical physics,Close match,100419,medical physics
1,F351,Radiation physics,Close match,101074,radiation physics
1,F360,Optical physics,Close match,101075,photonics and optical physics
1,F361,Laser physics,Close match,101076,laser physics
1,F370,Nuclear & particle physics,Close match,101077,nuclear and particle physics
3,F380,Acoustics,Related match,100427,acoustics
4,F390,Physics not elsewhere classified,Related match,101234,nanotechnology
4,F390,Physics not elsewhere classified,Related match,100425,physics
4,F400,Forensic & archaeological sciences,Related match,100384,archaeological sciences
4,F400,Forensic & archaeological sciences,Related match,101222,crime scene investigation
4,F400,Forensic & archaeological sciences,Related match,101218,forensic anthropology
4,F400,Forensic & archaeological sciences,Related match,101219,forensic archaeology
4,F400,Forensic & archaeological sciences,Related match,100388,forensic science
2,F410,Forensic science,Related match,101222,crime scene investigation
2,F410,Forensic science,Related match,101218,forensic anthropology
2,F410,Forensic science,Related match,100386,forensic biology
2,F410,Forensic science,Close match,100388,forensic science
2,F420,Archaeological science,Close match,100384,archaeological sciences
2,F420,Archaeological science,Related match,101219,forensic archaeology
4,F490,Forensic & archaeological sciences not elsewhere classified,Related match,100384,archaeological sciences
4,F490,Forensic & archaeological sciences not elsewhere classified,Related match,101218,forensic anthropology
4,F490,Forensic & archaeological sciences not elsewhere classified,Related match,100388,forensic science
1,F500,Astronomy,Close match,100414,astronomy
1,F510,Astrophysics,Close match,100415,astrophysics
4,F520,Space & planetary sciences,Related match,101103,planetary science
4,F520,Space & planetary sciences,Related match,101102,space science
1,F521,Space science,Close match,101102,space science
1,F522,Planetary science,Close match,101103,planetary science
3,F530,Solar & solar terrestrial physics,Related match,101103,planetary science
3,F540,Astronomy observation,Related match,100414,astronomy
3,F550,Astronomy theory,Related match,100414,astronomy
3,F590,Astronomy not elsewhere classified,Related match,100414,astronomy
2,F600,Geology,Related match,100380,environmental geoscience
2,F600,Geology,Close match,100395,geology
2,F610,Applied geology,Close match,101104,applied geology
2,F610,Applied geology,Related match,100380,environmental geoscience
4,F611,Industrial geology,Related match,101104,applied geology
4,F611,Industrial geology,Related match,101105,petroleum geology
1,F612,Engineering geology,Close match,101106,engineering geology
4,F620,Mining geology,Related match,101104,applied geology
4,F620,Mining geology,Related match,100395,geology
4,F620,Mining geology,Related match,100204,mining engineering
1,F621,Exploration geology,Close match,101093,exploration geology
4,F630,Geotechnology,Related match,100380,environmental geoscience
4,F630,Geotechnology,Related match,100551,geotechnical engineering
3,F631,Marine geotechnology,Related match,100551,geotechnical engineering
1,F640,Earth science,Close match,100394,earth sciences
1,F641,Palaeontology,Close match,100398,palaeontology
4,F642,Geoscience,Related match,100394,earth sciences
4,F642,Geoscience,Related match,100380,environmental geoscience
1,F643,Quaternary studies,Close match,101091,quaternary studies
1,F644,Hydrogeology,Close match,101089,hydrogeology
3,F645,Mantle & core processes,Related match,100394,earth sciences
3,F646,Land-atmosphere interactions,Related match,101068,atmospheric physics
1,F650,Geological oceanography,Close match,101086,geological oceanography
1,F660,Geophysics,Close match,100396,geophysics
1,F661,Exploration geophysics,Close match,101084,exploration geophysics
1,F670,Geochemistry,Close match,101083,geochemistry
1,F680,Geohazards,Close match,101082,geological hazards
4,F681,Seismology & tectonics,Related match,100394,earth sciences
4,F681,Seismology & tectonics,Related match,100395,geology
1,F682,Vulcanology,Close match,101081,volcanology
3,F690,Geology not elsewhere classified,Related match,100395,geology
3,F700,Science of aquatic & terrestrial environments,Related match,100410,physical geography
1,F710,Marine sciences,Close match,100418,marine sciences
1,F720,Hydrography,Close match,101073,hydrography
1,F730,Ocean sciences,Close match,100421,ocean sciences
3,F731,Ocean circulation,Related match,100421,ocean sciences
4,F732,Oceanographic survey & monitoring,Related match,100421,ocean sciences
4,F732,Oceanographic survey & monitoring,Related match,100219,surveying
4,F733,Land-ocean interaction,Related match,100394,earth sciences
4,F733,Land-ocean interaction,Related match,100421,ocean sciences
1,F734,Atmosphere-ocean interactions,Close match,101351,atmosphere-ocean interactions
2,F750,Environmental sciences,Related match,100468,countryside management
2,F750,Environmental sciences,Close match,100381,environmental sciences
1,F751,Applied environmental sciences,Close match,101078,applied environmental sciences
1,F752,Hydrology,Close match,101079,hydrology
1,F753,Pollution control,Close match,101072,pollution control
4,F754,Biogeochemical cycles,Related match,100381,environmental sciences
4,F754,Biogeochemical cycles,Related match,101083,geochemistry
4,F755,Environmental informatics,Related match,100381,environmental sciences
4,F755,Environmental informatics,Related match,100371,information systems
4,F756,Environmental physiology,Related match,100937,animal physiology
4,F756,Environmental physiology,Related match,100381,environmental sciences
1,F760,Climatology,Close match,100379,climate science
1,F761,Meteorology,Close match,100382,meteorology
3,F762,Large-scale atmospheric dynamics & transport,Related match,101068,atmospheric physics
3,F763,Boundary-layer meteorology,Related match,100382,meteorology
1,F764,Climate & climate change,Close match,101070,climate change
3,F765,Radiative processes & effects,Related match,101074,radiation physics
1,F770,Soil science,Close match,101067,soil science
1,F780,Glaciology & cryospheric systems,Close match,101394,glaciology and cryospheric systems
3,F790,Science of aquatic & terrestrial environments not elsewhere classified,Related match,100410,physical geography
3,F800,Physical geographical sciences,Related match,100410,physical geography
1,F810,Environmental geography,Close match,100408,environmental geography
1,F811,Biogeography,Close match,101352,biogeography
1,F840,Physical geography,Close match,100410,physical geography
1,F841,Maritime geography,Close match,101065,maritime geography
1,F842,Geomorphology,Close match,101064,geomorphology
3,F843,Topography,Related match,100410,physical geography
1,F844,Cartography,Close match,101058,mapping science
1,F845,Remote sensing,Close match,101056,remote sensing
1,F846,Geographical information systems,Close match,100369,geographical information systems
3,F890,Physical geographical sciences not elsewhere classified,Related match,100410,physical geography
4,F900,Others in physical sciences,Related match,100392,applied science
4,F900,Others in physical sciences,Related match,101048,environmental risk
4,F900,Others in physical sciences,Related match,101234,nanotechnology
4,F900,Others in physical sciences,Related match,100391,natural sciences
4,F900,Others in physical sciences,Related match,100424,physical sciences
4,F990,Physical sciences not elsewhere classified,Related match,100390,general science
4,F990,Physical sciences not elsewhere classified,Related match,100424,physical sciences
3,G000,Mathematical Sciences,Related match,100403,mathematics
2,G100,Mathematics,Related match,100401,financial mathematics
2,G100,Mathematics,Related match,100065,liberal arts
2,G100,Mathematics,Close match,100403,mathematics
1,G110,Pure mathematics,Close match,100405,pure mathematics
2,G120,Applied mathematics,Close match,100400,applied mathematics
2,G120,Applied mathematics,Related match,100401,financial mathematics
4,G121,Mechanics (mathematical),Related match,100400,applied mathematics
4,G121,Mechanics (mathematical),Related match,100430,mechanics
3,G130,Mathematical methods,Related match,100403,mathematics
1,G140,Numerical analysis,Close match,101027,numerical analysis
1,G150,Mathematical modelling,Close match,100402,mathematical modelling
1,G160,Engineering/industrial mathematics,Close match,101028,engineering and industrial mathematics
1,G170,Computational mathematics,Close match,101029,computational mathematics
4,G190,Mathematics not elsewhere classified,Related match,100401,financial mathematics
4,G190,Mathematics not elsewhere classified,Related match,100390,general science
4,G190,Mathematics not elsewhere classified,Related match,100403,mathematics
1,G200,Operational research,Close match,100404,operational research
3,G290,Operational research not elsewhere classified,Related match,100404,operational research
1,G300,Statistics,Close match,100406,statistics
1,G310,Applied statistics,Close match,101030,applied statistics
1,G311,Medical statistics,Close match,101031,medical statistics
1,G320,Probability,Close match,101032,probability
1,G330,Stochastic processes,Close match,101033,stochastic processes
1,G340,Statistical modelling,Close match,101034,statistical modelling
3,G350,Mathematical statistics,Related match,100406,statistics
3,G390,Statistics not elsewhere classified,Related match,100406,statistics
3,G900,Others in mathematical sciences,Related match,100403,mathematics
3,H000,Engineering,Related match,100184,general or integrated engineering
2,H100,General engineering,Related match,100147,building services engineering
2,H100,General engineering,Related match,100005,clinical engineering
2,H100,General engineering,Close match,100184,general or integrated engineering
3,H110,Integrated engineering,Related match,100184,general or integrated engineering
1,H120,Safety engineering,Close match,100185,safety engineering
1,H121,Fire safety engineering,Close match,100183,fire safety engineering
1,H122,Water quality control,Close match,100573,water quality control
1,H123,Public health engineering,Close match,100565,public health engineering
1,H130,Computer-aided engineering,Close match,100160,computer aided engineering
3,H131,Automated engineering design,Related match,100160,computer aided engineering
1,H140,Mechanics,Close match,100430,mechanics
1,H141,Fluid mechanics,Close match,100577,fluid mechanics
1,H142,Solid mechanics,Close match,101396,solid mechanics
1,H143,Structural mechanics,Close match,100579,structural mechanics
1,H150,Engineering design,Close match,100182,engineering design
2,H160,"Bioengineering, biomedical engineering & clinical engineering",Related match,101243,bioengineering
2,H160,"Bioengineering, biomedical engineering & clinical engineering",Close match,100127,biomedical engineering
2,H160,"Bioengineering, biomedical engineering & clinical engineering",Related match,100005,clinical engineering
4,H161,Biomaterials,Related match,101243,bioengineering
4,H161,Biomaterials,Related match,101210,biomaterials
4,H162,Biomechanics (including fluid & solid mechanics),Related match,101243,bioengineering
4,H162,Biomechanics (including fluid & solid mechanics),Related match,100430,mechanics
4,H163,Bioelectronics & bioelectricity,Related match,101216,bioelectronics
4,H163,Bioelectronics & bioelectricity,Related match,101243,bioengineering
4,H163,Bioelectronics & bioelectricity,Related match,100163,electrical and electronic engineering
1,H164,Rehabilitation engineering,Close match,100130,prosthetics and orthotics
1,H165,Tissue engineering & regenerative medicine,Close match,100572,tissue engineering and regenerative medicine
4,H166,Imaging,Related match,100131,radiology
4,H166,Imaging,Related match,101056,remote sensing
3,H167,Biosensors,Related match,100127,biomedical engineering
4,H168,Medical devices & instrumentation,Related match,100127,biomedical engineering
4,H168,Medical devices & instrumentation,Related match,100166,control systems
4,H169,Neural engineering,Related match,100127,biomedical engineering
4,H169,Neural engineering,Related match,100272,neuroscience
3,H190,General engineering not elsewhere classified,Related match,100184,general or integrated engineering
2,H200,Civil engineering,Related match,100120,architectural engineering
2,H200,Civil engineering,Close match,100148,civil engineering
1,H210,Structural engineering,Close match,100153,structural engineering
1,H220,Environmental engineering,Close match,100180,environmental engineering
1,H221,Energy resources,Close match,100175,energy engineering
1,H222,Coastal decay,Close match,100544,marine engineering
2,H223,Environmental impact assessment,Close match,100549,environmental impact assessment
2,H223,Environmental impact assessment,Related match,101048,environmental risk
1,H230,Transport engineering,Close match,100154,transport engineering
1,H231,Permanent way engineering,Close match,100157,railway engineering
1,H232,Pavement engineering,Close match,100156,highways engineering
1,H240,Surveying science,Close match,100219,surveying
3,H241,General practice surveying,Related match,100219,surveying
1,H242,Engineering surveying,Close match,100548,engineering surveying
1,H250,Geotechnical engineering,Close match,100551,geotechnical engineering
3,H290,Civil engineering not elsewhere classified,Related match,100148,civil engineering
2,H300,Mechanical engineering,Related match,100147,building services engineering
2,H300,Mechanical engineering,Close match,100190,mechanical engineering
2,H300,Mechanical engineering,Related match,100206,motorsport engineering
1,H310,Dynamics,Close match,100429,dynamics
1,H311,Thermodynamics,Close match,100431,thermodynamics
3,H320,Mechanisms & machines,Related match,100190,mechanical engineering
1,H321,Turbine technology,Close match,101397,turbine technology
2,H330,Automotive engineering,Close match,100201,automotive engineering
2,H330,Automotive engineering,Related match,100206,motorsport engineering
4,H331,Road vehicle engineering,Related match,100201,automotive engineering
4,H331,Road vehicle engineering,Related match,100205,motorcycle engineering
2,H332,Rail vehicle engineering,Related match,100201,automotive engineering
2,H332,Rail vehicle engineering,Close match,101398,rail vehicle engineering
4,H333,Ship propulsion engineering,Related match,100201,automotive engineering
4,H333,Ship propulsion engineering,Related match,100190,mechanical engineering
4,H333,Ship propulsion engineering,Related match,100207,naval architecture
1,H340,Acoustics & vibration,Close match,100580,acoustics and vibration
1,H341,Acoustics,Close match,100427,acoustics
3,H342,Vibration,Related match,100580,acoustics and vibration
1,H350,Offshore engineering,Close match,100152,offshore engineering
1,H360,Electromechanical engineering,Close match,100192,electromechanical engineering
3,H390,Mechanical engineering not elsewhere classified,Related match,100190,mechanical engineering
1,H400,Aerospace engineering,Close match,100115,aerospace engineering
1,H410,Aeronautical engineering,Close match,100114,aeronautical engineering
3,H411,Air passenger transport engineering,Related match,100115,aerospace engineering
3,H412,Air freight transport engineering,Related match,100154,transport engineering
4,H413,Air combat engineering,Related match,100114,aeronautical engineering
4,H413,Air combat engineering,Related match,100115,aerospace engineering
1,H420,Astronautical engineering,Close match,100116,space technology
1,H430,Avionics,Close match,100117,avionics
1,H440,Aerodynamics,Close match,100428,aerodynamics
4,H441,Flight mechanics,Related match,100114,aeronautical engineering
4,H441,Flight mechanics,Related match,100430,mechanics
1,H450,Propulsion systems,Close match,100564,aerospace propulsion systems
1,H460,Aviation studies,Close match,100229,aviation studies
3,H490,Aerospace engineering not elsewhere classified,Related match,100115,aerospace engineering
1,H500,Naval architecture,Close match,100207,naval architecture
3,H510,Shipbuilding,Related match,100207,naval architecture
4,H511,Surface passenger ship building,Related match,100207,naval architecture
4,H511,Surface passenger ship building,Related match,100568,ship design
4,H512,Surface freight ship building,Related match,100207,naval architecture
4,H512,Surface freight ship building,Related match,100568,ship design
4,H513,Surface combat ship building,Related match,100207,naval architecture
4,H513,Surface combat ship building,Related match,100568,ship design
4,H514,Submarine building,Related match,100207,naval architecture
4,H514,Submarine building,Related match,100568,ship design
1,H520,Ship design,Close match,100568,ship design
3,H521,Surface passenger ship design,Related match,100568,ship design
3,H522,Surface freight ship design,Related match,100568,ship design
3,H523,Surface combat ship design,Related match,100568,ship design
3,H524,Submarine design,Related match,100568,ship design
3,H590,Naval architecture not elsewhere classified,Related match,100230,navigation
2,H600,Electronic & electrical engineering,Related match,100162,computer systems engineering
2,H600,Electronic & electrical engineering,Close match,100163,electrical and electronic engineering
2,H600,Electronic & electrical engineering,Related match,101234,nanotechnology
2,H610,Electronic engineering,Related match,101216,bioelectronics
2,H610,Electronic engineering,Close match,100165,electronic engineering
1,H611,Microelectronic engineering,Close match,100168,microelectronic engineering
1,H612,Integrated circuit design,Close match,100553,integrated circuit design
1,H620,Electrical engineering,Close match,100164,electrical engineering
1,H630,Electrical power,Close match,100581,electrical power
1,H631,Electrical power generation,Close match,101353,electrical power generation
1,H632,Electrical power distribution,Close match,101354,electrical power distribution
3,H640,Communications engineering,Related match,100159,telecommunications engineering
1,H641,Telecommunications engineering,Close match,100159,telecommunications engineering
1,H642,Broadcast engineering,Close match,100539,broadcast engineering
1,H643,Satellite engineering,Close match,100118,satellite engineering
1,H644,Microwave engineering,Close match,100177,microwave engineering
2,H650,Systems engineering,Related match,100162,computer systems engineering
2,H650,Systems engineering,Close match,100188,systems engineering
1,H651,Digital circuit engineering,Close match,100546,digital circuit engineering
1,H652,Analogue circuit engineering,Close match,101399,analogue circuit engineering
1,H660,Control systems,Close match,100166,control systems
3,H661,Instrumentation control,Related match,100166,control systems
3,H662,Control by light systems,Related match,100166,control systems
3,H670,Robotics & cybernetics,Related match,100170,mechatronics and robotics
1,H671,Robotics,Close match,100170,mechatronics and robotics
1,H672,Cybernetics,Close match,101355,cybernetics
3,H674,Virtual reality engineering,Related match,100363,computer animation and visual effects
1,H680,Optoelectronic engineering,Close match,100169,optoelectronic engineering
4,H690,Electronic & electrical engineering not elsewhere classified,Related match,101216,bioelectronics
4,H690,Electronic & electrical engineering not elsewhere classified,Related match,100163,electrical and electronic engineering
1,H700,Production & manufacturing engineering,Close match,100209,production and manufacturing engineering
1,H710,Manufacturing systems engineering,Close match,100202,manufacturing engineering
3,H711,Manufacturing systems design,Related match,100202,manufacturing engineering
3,H712,Manufacturing installation systems,Related match,100202,manufacturing engineering
3,H713,Production processes,Related match,100209,production and manufacturing engineering
3,H714,Manufacturing systems maintenance,Related match,100202,manufacturing engineering
3,H720,Quality assurance engineering,Related match,100213,quality management
3,H730,Mechatronics,Related match,100170,mechatronics and robotics
3,H790,Production & manufacturing engineering not elsewhere classified,Related match,100209,production and manufacturing engineering
3,H800,"Chemical, process & energy engineering",Related match,100143,chemical engineering
1,H810,Chemical engineering,Close match,100143,chemical engineering
1,H811,Biochemical engineering,Close match,100141,biochemical engineering
1,H812,Pharmaceutical engineering,Close match,100144,pharmaceutical engineering
3,H820,Atomic engineering,Related match,100172,nuclear engineering
1,H821,Nuclear engineering,Close match,100172,nuclear engineering
3,H830,Chemical process engineering,Related match,100143,chemical engineering
1,H831,Bioprocess engineering,Close match,100135,bioprocessing
1,H840,Gas engineering,Close match,100176,gas engineering
1,H850,Petroleum engineering,Close match,100178,petroleum engineering
3,H890,"Chemical, process & energy engineering not elsewhere classified",Related match,100143,chemical engineering
4,H900,Others in engineering,Related match,101243,bioengineering
4,H900,Others in engineering,Related match,100184,general or integrated engineering
3,H990,Engineering not elsewhere classified,Related match,100184,general or integrated engineering
3,I000,Computer Sciences,Related match,100366,computer science
2,I100,Computer science,Related match,100358,applied computing
2,I100,Computer science,Related match,100360,business computing
2,I100,Computer science,Related match,100361,business information systems
2,I100,Computer science,Related match,100362,business information technology
2,I100,Computer science,Related match,100376,computer and information security
2,I100,Computer science,Related match,100385,computer forensics
2,I100,Computer science,Close match,100366,computer science
2,I100,Computer science,Related match,100162,computer systems engineering
2,I100,Computer science,Related match,100367,computing and information technology
2,I100,Computer science,Related match,100368,creative computing
2,I100,Computer science,Related match,100372,information technology
4,I110,Computer architectures & operating systems,Related match,100376,computer and information security
4,I110,Computer architectures & operating systems,Related match,100734,computer architectures
4,I110,Computer architectures & operating systems,Related match,100735,operating systems
2,I111,Computer architectures,Close match,100734,computer architectures
2,I111,Computer architectures,Related match,100162,computer systems engineering
1,I112,Operating systems,Close match,100735,operating systems
4,I113,Displays & imaging,Related match,100162,computer systems engineering
4,I113,Displays & imaging,Related match,100736,human-computer interaction
1,I114,High end computing,Close match,100741,high performance computing
1,I115,Parallel computing,Close match,101400,parallel computing
2,I120,Networks & communications,Related match,100376,computer and information security
2,I120,Networks & communications,Close match,100365,computer networks
3,I130,Computational science foundations,Related match,100366,computer science
1,I140,Human-computer interaction,Close match,100736,human-computer interaction
2,I150,Multimedia computing science,Related match,100368,creative computing
2,I150,Multimedia computing science,Close match,100737,multimedia computing science
1,I160,Internet,Close match,100373,internet technologies
2,I161,e-business,Related match,100360,business computing
2,I161,e-business,Close match,100738,e-business
3,I190,Computer science not elsewhere classified,Related match,100366,computer science
2,I200,Information systems,Related match,100360,business computing
2,I200,Information systems,Related match,100361,business information systems
2,I200,Information systems,Related match,100362,business information technology
2,I200,Information systems,Related match,100385,computer forensics
2,I200,Information systems,Related match,100367,computing and information technology
2,I200,Information systems,Close match,100371,information systems
2,I200,Information systems,Related match,100372,information technology
1,I210,Information modelling,Close match,100751,information modelling
4,I220,Systems design methodologies,Related match,100821,requirements engineering
4,I220,Systems design methodologies,Related match,100753,systems analysis and design
2,I230,Systems analysis & design,Related match,100821,requirements engineering
2,I230,Systems analysis & design,Close match,100753,systems analysis and design
1,I240,Databases,Close match,100754,databases
2,I250,Systems auditing,Related match,100385,computer forensics
2,I250,Systems auditing,Close match,100756,systems auditing
2,I260,Data management,Close match,100755,data management
2,I260,Data management,Related match,100372,information technology
1,I270,Intelligent & expert systems,Close match,100757,intelligent systems
4,I290,Systems analysis & design not elsewhere classified,Related match,100821,requirements engineering
4,I290,Systems analysis & design not elsewhere classified,Related match,100753,systems analysis and design
2,I300,Software engineering,Related match,100821,requirements engineering
2,I300,Software engineering,Close match,100374,software engineering
3,I310,Software design,Related match,100374,software engineering
1,I320,Programming,Close match,100956,programming
3,I321,Procedural programming,Related match,100956,programming
1,I322,Object-oriented programming,Close match,100960,object-oriented programming
3,I323,Declarative programming,Related match,100956,programming
3,I390,Software engineering not elsewhere classified,Related match,100374,software engineering
1,I400,Artificial intelligence,Close match,100359,artificial intelligence
1,I410,Speech & natural language processing,Close match,100961,natural language processing
1,I420,Knowledge representation,Close match,100963,knowledge and information systems
1,I430,Neural computing,Close match,100966,neural computing
1,I440,Computer vision,Close match,100968,computer vision
1,I450,Cognitive modelling,Close match,100989,cognitive modelling
1,I460,Machine learning,Close match,100992,machine learning
3,I461,Automated reasoning,Related match,100359,artificial intelligence
3,I490,Artificial intelligence not elsewhere classified,Related match,100359,artificial intelligence
1,I500,Health informatics,Close match,100994,health informatics
3,I510,Health technologies,Related match,100260,healthcare science
1,I520,Bioinformatics,Close match,100869,bioinformatics
3,I530,Tele healthcare,Related match,100260,healthcare science
3,I590,Health informatics not elsewhere classified,Related match,100869,bioinformatics
1,I600,Games,Close match,101267,computer games
2,I610,Computer games programming,Related match,101267,computer games
2,I610,Computer games programming,Close match,101020,computer games programming
2,I620,Computer games design,Related match,101267,computer games
2,I620,Computer games design,Close match,101268,computer games design
2,I630,Computer games graphics,Related match,101267,computer games
2,I630,Computer games graphics,Close match,101019,computer games graphics
3,I700,Computer generated visual & audio effects,Related match,100363,computer animation and visual effects
1,I710,Computer generated imagery,Close match,100363,computer animation and visual effects
3,I900,Others in Computer sciences,Related match,100366,computer science
3,I990,Computer sciences not elsewhere classified,Related match,100366,computer science
3,J000,Technologies,Related match,100184,general or integrated engineering
1,J100,Minerals technology,Close match,100155,minerals technology
3,J110,Mining,Related match,100204,mining engineering
2,J120,Quarrying,Related match,100204,mining engineering
2,J120,Quarrying,Close match,100566,quarrying
3,J130,Rock mechanics,Related match,100204,mining engineering
1,J140,Minerals processing,Close match,100212,minerals processing
4,J150,Minerals surveying,Related match,100155,minerals technology
4,J150,Minerals surveying,Related match,100219,surveying
4,J160,Petrochemical technology,Related match,100155,minerals technology
4,J160,Petrochemical technology,Related match,101054,oil and gas chemistry
3,J190,Minerals technology not elsewhere classified,Related match,100155,minerals technology
1,J200,Metallurgy,Close match,100033,metallurgy
4,J210,Applied metallurgy,Related match,100203,materials engineering
4,J210,Applied metallurgy,Related match,100033,metallurgy
1,J220,Metallic fabrication,Close match,100211,fabrication
3,J221,Pattern making,Related match,100211,fabrication
1,J230,Corrosion technology,Close match,100545,corrosion technology
3,J290,Metallurgy not elsewhere classified,Related match,100033,metallurgy
3,J300,Ceramics & glass,Related match,100225,materials science
3,J310,Ceramics,Related match,100225,materials science
3,J320,Glass technology,Related match,100225,materials science
3,J390,Ceramics & glass not elsewhere classified,Related match,100225,materials science
4,J400,Polymers & textiles,Related match,100145,polymer science and technology
4,J400,Polymers & textiles,Related match,100214,textiles technology
1,J410,Polymers technology,Close match,100145,polymer science and technology
3,J411,Plastics,Related match,100145,polymer science and technology
1,J420,Textiles technology,Close match,100214,textiles technology
4,J421,Textile chemistry,Related match,100417,chemistry
4,J421,Textile chemistry,Related match,100214,textiles technology
3,J422,Dying & colouring of textiles,Related match,100214,textiles technology
1,J430,Leather technology,Close match,100210,leather technology
3,J431,Tanning,Related match,100210,leather technology
1,J440,Clothing production,Close match,100109,clothing production
3,J441,Machine knitting,Related match,100109,clothing production
3,J442,Commercial tailoring,Related match,100109,clothing production
3,J443,Pattern cutting,Related match,100109,clothing production
3,J444,Millinery,Related match,100109,clothing production
1,J445,Footwear production,Close match,100110,footwear production
4,J490,Polymers & textiles not elsewhere classified,Related match,100145,polymer science and technology
4,J490,Polymers & textiles not elsewhere classified,Related match,100214,textiles technology
4,J500,Materials technology not otherwise specified,Related match,101210,biomaterials
4,J500,Materials technology not otherwise specified,Related match,100225,materials science
1,J510,Materials technology,Close match,100203,materials engineering
4,J511,Engineering materials,Related match,101217,composite materials
4,J511,Engineering materials,Related match,100203,materials engineering
1,J512,Paper technology,Close match,101356,paper technology
3,J513,Furniture technology,Related match,100633,furniture design and making
3,J520,Printing,Related match,100443,media production
3,J521,Offset lithography,Related match,100443,media production
3,J522,Photo-lithography,Related match,100443,media production
3,J523,Reprographic techniques,Related match,100443,media production
3,J524,Screen process printing,Related match,100443,media production
1,J530,Gemmology,Close match,100550,gemmology
3,J590,Materials technology not elsewhere classified,Related match,100225,materials science
3,J600,Maritime technology,Related match,100194,marine technology
1,J610,Marine technology,Close match,100194,marine technology
1,J611,Marine navigation,Close match,100230,navigation
4,J612,Marine radar,Related match,100194,marine technology
4,J612,Marine radar,Related match,100230,navigation
4,J613,Marine radio,Related match,100194,marine technology
4,J613,Marine radio,Related match,100230,navigation
3,J614,Marine plumbing,Related match,100194,marine technology
3,J690,Maritime technology not elsewhere classified,Related match,100194,marine technology
1,J700,Biotechnology,Close match,100134,biotechnology
3,J710,"Plant biotechnology (crops, trees, shrubs etc.)",Related match,100139,plant biotechnology
3,J720,Animal biotechnology,Related match,100134,biotechnology
1,J730,Environmental biotechnology,Close match,100136,environmental biotechnology
1,J740,Industrial biotechnology,Close match,100137,industrial biotechnology
1,J750,Medical biotechnology,Close match,100138,medical biotechnology
4,J790,Biotechnology not elsewhere classified,Related match,101216,bioelectronics
4,J790,Biotechnology not elsewhere classified,Related match,100134,biotechnology
4,J900,Others in technology,Related match,100222,audio technology
4,J900,Others in technology,Related match,100134,biotechnology
4,J900,Others in technology,Related match,100362,business information technology
4,J900,Others in technology,Related match,100186,emergency and disaster technologies
4,J900,Others in technology,Related match,100175,energy engineering
4,J900,Others in technology,Related match,100136,environmental biotechnology
4,J900,Others in technology,Related match,100052,ergonomics
4,J900,Others in technology,Related match,100211,fabrication
4,J900,Others in technology,Related match,100633,furniture design and making
4,J900,Others in technology,Related match,100137,industrial biotechnology
4,J900,Others in technology,Related match,100194,marine technology
4,J900,Others in technology,Related match,100203,materials engineering
4,J900,Others in technology,Related match,100225,materials science
4,J900,Others in technology,Related match,100443,media production
4,J900,Others in technology,Related match,100138,medical biotechnology
4,J900,Others in technology,Related match,100221,music technology
4,J900,Others in technology,Related match,101356,paper technology
4,J900,Others in technology,Related match,100139,plant biotechnology
4,J900,Others in technology,Related match,100145,polymer science and technology
4,J900,Others in technology,Related match,100743,systems thinking
4,J900,Others in technology,Related match,100214,textiles technology
3,J910,Energy technologies,Related match,100175,energy engineering
1,J920,Ergonomics,Close match,100052,ergonomics
1,J930,Audio technology,Close match,100222,audio technology
3,J931,Music recording,Related match,100223,music production
3,J940,Machinery maintenance,Related match,100193,maintenance engineering
